artifact_path,artifact_name,artifact_type,purpose,responsibilities,exclusions,classes,functions,imports,referenced_scripts,referenced_tables,referenced_rpcs,defined_rpcs,verifies,line_count,documentation_status,last_scanned_at,scan_error
common/object_types.py,object_types.py,Python,Defines AlphaOmega's canonical synchronization object types.,"[""Define the canonical CONTAINER object type."",""Define the canonical CONTENT object type."",""Provide shared object-type values that are independent of any"",""individual synchronization stage.""]","[""Define source-specific object types."",""Determine the object type of a source object."",""Perform synchronization processing.""]",[],[],[],[],[],[],[],[],20,COMPLETE,2026-09-13 05:06:34.617284+00,null
common/security/credential_provider.py,credential_provider.py,Python,Defines the stable interface used by AlphaOmega infrastructure to retrieve credentials without depending on a specific credential-storage technology.,"[""AlphaOmega credential name."",""Define the common CredentialProvider interface."",""Preserve a storage-independent credential retrieval boundary."",""Require credential providers to retrieve secrets by logical""]","[""Expose provider-specific retrieval behavior to consumers."",""Implement credential retrieval from a specific provider."",""Select a credential-storage technology."",""Store credentials.""]","[""CredentialProvider""]","[""get""]","[""abc.ABC"",""abc.abstractmethod""]",[],[],[],[],[],43,COMPLETE,2026-09-13 05:06:34.617284+00,null
common/security/local_credential_provider.py,local_credential_provider.py,Python,Retrieves AlphaOmega secrets from operating-system protected credential storage through the common CredentialProvider interface.,"[""Convert provider retrieval failures into controlled runtime errors."",""Retrieve credentials from the local protected credential store."",""Return stored secrets through the common CredentialProvider contract."",""Use the AlphaOmega service name when accessing local credentials."",""Validate logical credential names before retrieval.""]","[""Define credential consumers."",""Expose provider-generated exception details."",""Require consuming components to depend directly on keyring."",""Store or modify credentials.""]","[""LocalCredentialProvider""]","[""get""]","[""common.security.credential_provider.CredentialProvider"",""keyring""]","[""common/security/credential_provider.py""]",[],[],[],[],72,COMPLETE,2026-09-13 05:06:34.617284+00,null
config/settings.py,settings.py,Python,Loads required local AlphaOmega configuration settings used by Microsoft Graph connectivity.,"[""Expose the configured Microsoft Graph client ID."",""Fail when a required configuration setting is unavailable."",""Load configuration values from the config .env file."",""Retrieve required settings from the process environment.""]","[""Authenticate to Microsoft Graph."",""Establish Microsoft Graph connections."",""Retrieve protected credentials."",""Store or modify configuration values.""]",[],"[""get_required_setting""]","[""dotenv.load_dotenv"",""os"",""pathlib.Path""]",[],[],[],[],[],43,COMPLETE,2026-09-13 05:06:34.617284+00,null
scripts/administration/export_script_documentation_audit.py,export_script_documentation_audit.py,Python,Exports the current development implementation inventory into one documentation audit package for controlled Gold Standard review.,"[""Derive direct inbound script dependencies without storing them."",""Preserve human-authored and machine-discovered inventory metadata."",""Produce summary statistics for the current inventory."",""Read active artifact metadata from public.scripts."",""Read the current source text for each inventoried repository artifact."",""Write one deterministic JSON audit package to artifacts/reports.""]","[""Create Knowledge Objects."",""Execute inventoried Python or SQL artifacts."",""Infer undocumented architectural intent."",""Modify database records."",""Modify repository source files."",""Store reverse dependencies in the database.""]",[],"[""build_audit"",""build_reverse_dependency_map"",""build_summary"",""create_database_client"",""load_active_scripts"",""main"",""normalize_json_array"",""print_summary"",""read_source_text"",""write_audit_report""]","[""common.security.local_credential_provider.LocalCredentialProvider"",""datetime.datetime"",""datetime.timezone"",""json"",""pathlib.Path"",""scripts.database.database_connection.DatabaseConnection""]","[""common/security/local_credential_provider.py"",""scripts/database/database_connection.py""]","[""scripts""]",[],[],[],308,COMPLETE,2026-09-13 05:06:34.617284+00,null
scripts/administration/refresh_script_inventory.py,refresh_script_inventory.py,Python,Maintains the development implementation inventory stored in the public.scripts table.,"[""Detect database table and RPC relationships."",""Discover Python and SQL artifacts in the AIOS repository."",""Extract deterministic implementation metadata."",""Extract human-authored documentation metadata."",""Maintain active and inactive artifact state."",""Measure documentation compliance."",""Resolve internal Python dependencies to repository artifacts.""]","[""Create Knowledge Objects."",""Determine inbound dependencies manually."",""Execute discovered Python or SQL artifacts."",""Infer architectural intent that is not documented in source."",""Modify discovered source files."",""Synchronize AlphaOmega content.""]",[],"[""analyze_artifact"",""analyze_python"",""analyze_sql"",""build_base_record"",""build_python_module_map"",""calculate_hash"",""classify_record"",""collect_python_string_constants"",""deactivate_missing_artifact"",""determine_documentation_status"",""discover_artifacts"",""enrich_sql_rpc_relationships"",""extract_sql_documentation"",""find_best_module_match"",""find_sql_defined_rpcs"",""find_sql_referenced_rpcs"",""find_sql_referenced_tables"",""get_line_count"",""get_relative_path"",""get_repository_root"",""is_test_artifact"",""load_existing_records"",""main"",""normalize_documentation_line"",""parse_documentation"",""path_to_module_name"",""print_results"",""refresh_inventory"",""remove_transient_fields"",""resolve_relative_import_module"",""resolve_static_string"",""strip_sql_comments"",""upsert_records""]","[""ast"",""common.security.local_credential_provider.LocalCredentialProvider"",""datetime.datetime"",""datetime.timezone"",""hashlib"",""pathlib.Path"",""re"",""scripts.database.database_connection.DatabaseConnection""]","[""common/security/local_credential_provider.py"",""scripts/database/database_connection.py""]","[""scripts""]",[],[],[],2123,COMPLETE,2026-09-13 05:06:34.617284+00,null
scripts/application/populate_all_onedrive_container_population.py,populate_all_onedrive_container_population.py,Python,Performs the controlled initial population of the complete persisted OneDrive Source Container Catalog.,"[""Compare the observation with existing persisted Source Containers."",""Create a Processing Job for the controlled population."",""Enumerate the complete OneDrive container hierarchy."",""Persist observed OneDrive Source Containers through the approved"",""Report population measurements and results."",""Validate the complete Source Container observation."",""database operation.""]","[""Create Knowledge Objects."",""Perform ongoing Source Container Refresh."",""Replace the shared SourceContainerRefreshService."",""Synchronize OneDrive file content.""]","[""ExistingDatabaseConnection""]","[""__init__"",""connect"",""format_bytes"",""format_duration"",""main""]","[""common.security.local_credential_provider.LocalCredentialProvider"",""datetime.datetime"",""datetime.timezone"",""json"",""scripts.connectors.ms_graph.onedrive_container_enumerator.OneDriveContainerEnumerator"",""scripts.database.database_connection.DatabaseConnection"",""scripts.database.processing_job_repository.ProcessingJobRepository"",""scripts.database.source_container_repository.SourceContainerRepository"",""scripts.database.source_repository.SourceRepository"",""scripts.sync.source_container_observation_validator.SourceContainerObservationValidator"",""time.perf_counter""]","[""common/security/local_credential_provider.py"",""scripts/connectors/ms_graph/onedrive_container_enumerator.py"",""scripts/database/database_connection.py"",""scripts/database/processing_job_repository.py"",""scripts/database/source_container_repository.py"",""scripts/database/source_repository.py"",""scripts/sync/source_container_observation_validator.py""]",[],"[""upsert_source_containers""]",[],[],727,COMPLETE,2026-09-13 05:06:34.617284+00,null
scripts/application/populate_onedrive_containers.py,populate_onedrive_containers.py,Python,Performs controlled population of the AlphaOmega OneDrive Source Container subtree.,"[""Create a Processing Job for the controlled population."",""Enumerate a complete OneDrive container observation."",""Persist the selected Source Containers through the approved database"",""Report population measurements and results."",""Select the AlphaOmega subtree from the observed hierarchy."",""Validate the complete observation before selection."",""operation.""]","[""Create Knowledge Objects."",""Perform ongoing Source Container Refresh."",""Synchronize OneDrive file content."",""Treat partial enumeration as proof of absence.""]",[],"[""format_bytes"",""format_duration"",""main"",""select_subtree""]","[""common.security.local_credential_provider.LocalCredentialProvider"",""datetime.datetime"",""datetime.timezone"",""json"",""scripts.connectors.ms_graph.onedrive_container_enumerator.OneDriveContainerEnumerator"",""scripts.database.database_connection.DatabaseConnection"",""scripts.database.processing_job_repository.ProcessingJobRepository"",""scripts.database.source_repository.SourceRepository"",""scripts.sync.source_container_observation_validator.SourceContainerObservationValidator"",""time.perf_counter""]","[""common/security/local_credential_provider.py"",""scripts/connectors/ms_graph/onedrive_container_enumerator.py"",""scripts/database/database_connection.py"",""scripts/database/processing_job_repository.py"",""scripts/database/source_repository.py"",""scripts/sync/source_container_observation_validator.py""]","[""source_containers""]","[""upsert_source_containers""]",[],[],901,COMPLETE,2026-09-13 05:06:34.617284+00,null
scripts/application/populate_onenote_containers.py,populate_onenote_containers.py,Python,Performs the controlled initial population of the persisted OneNote Source Container Catalog.,"[""Create a Processing Job for the controlled population."",""Enumerate the complete OneNote container hierarchy."",""Persist observed OneNote Source Containers through the approved"",""Report population measurements and results."",""Validate the complete Source Container observation."",""database operation.""]","[""Create Knowledge Objects."",""Perform ongoing Source Container Refresh."",""Replace the shared SourceContainerRefreshService."",""Synchronize OneNote page content.""]",[],"[""format_bytes"",""format_duration"",""main""]","[""common.security.local_credential_provider.LocalCredentialProvider"",""datetime.datetime"",""datetime.timezone"",""json"",""scripts.connectors.ms_graph.onenote_container_enumerator.OneNoteContainerEnumerator"",""scripts.database.database_connection.DatabaseConnection"",""scripts.database.processing_job_repository.ProcessingJobRepository"",""scripts.database.source_repository.SourceRepository"",""scripts.sync.source_container_observation_validator.SourceContainerObservationValidator"",""time.perf_counter""]","[""common/security/local_credential_provider.py"",""scripts/connectors/ms_graph/onenote_container_enumerator.py"",""scripts/database/database_connection.py"",""scripts/database/processing_job_repository.py"",""scripts/database/source_repository.py"",""scripts/sync/source_container_observation_validator.py""]","[""source_containers""]","[""upsert_source_containers""]",[],[],693,COMPLETE,2026-09-13 05:06:34.617284+00,null
scripts/application/refresh_all_source_containers.py,refresh_all_source_containers.py,Python,Provides the production application entry point for refreshing the persisted Source Container Catalog for registered Sources.,"[""Build SourceContainerRefreshService with the required dependencies."",""Define the configured Source registry used by Refresh."",""Preserve separate Processing Jobs for separate Sources."",""Report per-Source and combined Refresh results."",""Run each configured Source Refresh independently."",""Select the correct Source-specific container enumerator.""]","[""Combine multiple Sources into one Processing Job."",""Create Knowledge Objects."",""Implement Source Container enumeration."",""Implement reconciliation or persistence rules."",""Synchronize source content.""]","[""ExistingDatabaseConnection""]","[""__init__"",""build_refresh_service"",""connect"",""format_bytes"",""format_duration"",""main"",""print_source_result"",""run_source_refresh""]","[""common.security.local_credential_provider.LocalCredentialProvider"",""scripts.connectors.ms_graph.onedrive_container_enumerator.OneDriveContainerEnumerator"",""scripts.connectors.ms_graph.onenote_container_enumerator.OneNoteContainerEnumerator"",""scripts.database.database_connection.DatabaseConnection"",""scripts.database.processing_job_repository.ProcessingJobRepository"",""scripts.database.source_container_refresh_reservation_repository.SourceContainerRefreshReservationRepository"",""scripts.database.source_container_repository.SourceContainerRepository"",""scripts.database.source_repository.SourceRepository"",""scripts.sync.source_container_observation_validator.SourceContainerObservationValidator"",""scripts.sync.source_container_reconciler.SourceContainerReconciler"",""scripts.sync.source_container_refresh_service.SourceContainerRefreshService"",""scripts.sync.source_container_root_service.SourceContainerRootService"",""time.perf_counter""]","[""common/security/local_credential_provider.py"",""scripts/connectors/ms_graph/onedrive_container_enumerator.py"",""scripts/connectors/ms_graph/onenote_container_enumerator.py"",""scripts/database/database_connection.py"",""scripts/database/processing_job_repository.py"",""scripts/database/source_container_refresh_reservation_repository.py"",""scripts/database/source_container_repository.py"",""scripts/database/source_repository.py"",""scripts/sync/source_container_observation_validator.py"",""scripts/sync/source_container_reconciler.py"",""scripts/sync/source_container_refresh_service.py"",""scripts/sync/source_container_root_service.py""]",[],[],[],[],691,COMPLETE,2026-09-13 05:06:34.617284+00,null
scripts/application/source_browsing_service.py,source_browsing_service.py,Python,Provides the application-facing capability for browsing registered Sources and their persisted Source Container hierarchy.,"[""Construct the application-facing Source Container hierarchy."",""Expose AlphaOmega Source and Source Container identities to callers."",""List enabled registered Sources."",""Retrieve active persisted Source Containers for a Source."",""Validate that a requested Source exists and is enabled.""]","[""Access the database directly."",""Communicate with a Source of Truth."",""Create Processing Jobs or Synchronization Runs."",""Enumerate or refresh Source Containers."",""Perform UI presentation."",""Synchronize content.""]","[""SourceBrowsingService""]","[""__init__"",""_build_hierarchy"",""_sort_hierarchy"",""browse_source"",""list_sources""]",[],[],[],[],[],[],370,COMPLETE,2026-09-13 05:06:34.617284+00,null
scripts/application/synchronization_admission_service.py,synchronization_admission_service.py,Python,Validates one SynchronizationRequest against the persisted Source and Source Container catalogs.,"[""Return the persisted identities required by later synchronization"",""Validate that the Source Container belongs to the requested Source."",""Validate that the Source Container is active."",""Validate that the requested Source Container exists."",""Validate that the requested Source exists."",""Validate that the requested Source is enabled."",""capabilities.""]","[""Communicate with a Source of Truth."",""Create Processing Jobs or Synchronization Runs."",""Detect synchronization overlap."",""Invoke SynchronizationOrchestrator."",""Refresh Source Containers."",""Reserve synchronization execution.""]","[""SynchronizationAdmissionService""]","[""__init__"",""validate""]",[],[],[],[],[],[],206,COMPLETE,2026-09-13 05:06:34.617284+00,null
scripts/application/synchronization_application_service.py,synchronization_application_service.py,Python,Provides the production application capability for processing one SynchronizationRequest from persisted admission through synchronization execution.,"[""AlphaOmega state."",""Enforce application-level Source scope rules."",""Invoke authoritative synchronization reservation and execution."",""Perform preliminary persisted conflict evaluation."",""Return one application-facing operational result."",""Validate the admitted synchronization scope against its Source of Truth."",""Validate the requested Source and Source Container against persisted""]","[""Access the database directly."",""Communicate directly with a Source of Truth."",""Create Processing Jobs or Synchronization Runs itself."",""Determine synchronization hierarchy conflicts itself."",""Duplicate synchronization pipeline logic."",""Implement Source-specific Connector behavior."",""Perform UI presentation.""]","[""SynchronizationApplicationService""]","[""__init__"",""_require_result_text"",""execute""]","[""scripts.sync.source_container_root_service.SourceContainerRootService""]","[""scripts/sync/source_container_root_service.py""]",[],[],[],[],410,COMPLETE,2026-09-13 05:06:34.617284+00,null
scripts/application/synchronization_conflict_service.py,synchronization_conflict_service.py,Python,Evaluates whether a requested synchronization scope conflicts with synchronization operations already running for the same Source.,"[""Evaluate same-Container, ancestor, and descendant scope conflicts."",""Keep synchronization conflict evaluation within the application layer."",""Read active synchronization scopes from persisted Synchronization Runs."",""Read the active persisted Source Container catalog for the Source."",""Return the conflicting active Source Container identities.""]","[""Access a Source of Truth."",""Create Synchronization Runs."",""Create or update Processing Jobs."",""Detect Source Container Refresh conflicts."",""Execute synchronization."",""Perform persisted synchronization admission."",""Reserve synchronization execution.""]","[""SynchronizationConflictService""]","[""__init__"",""_require_identifier"",""find_conflicts"",""has_conflict""]",[],[],[],[],[],[],165,COMPLETE,2026-09-13 05:06:34.617284+00,null
scripts/application/synchronization_connector_service.py,synchronization_connector_service.py,Python,Executes the Connector stage for an already-admitted synchronization request using the synchronization scope authorized by the application.,"[""Enforce Source-specific synchronization scope rules."",""Permit either Entire Source or selected-Container synchronization"",""Require a selected Container for OneDrive synchronization."",""Return the completed ConnectorSection for downstream pipeline stages."",""Route Entire Source OneNote through the existing GraphConnector."",""Route selected scopes through SynchronizationScopeConnector."",""for OneNote.""]","[""Browse or select Source Containers."",""Create Processing Jobs or Synchronization Runs."",""Execute Translator, Discovery, Extraction, or Load."",""Perform preliminary conflict detection."",""Permit normal whole-Source OneDrive synchronization."",""Reserve synchronization."",""Validate persisted Source or Source Container identity."",""Validate the selected Container against the Source of Truth.""]","[""SynchronizationConnectorService""]","[""__init__"",""_require_text"",""execute""]","[""scripts.connectors.ms_graph.graph_connector.GraphConnector"",""scripts.connectors.ms_graph.onedrive_synchronization_scope_connector.OneDriveSynchronizationScopeConnector"",""scripts.connectors.ms_graph.onenote_synchronization_scope_connector.OneNoteSynchronizationScopeConnector"",""scripts.connectors.synchronization_scope_connector.SynchronizationScopeConnector""]","[""scripts/connectors/ms_graph/graph_connector.py"",""scripts/connectors/ms_graph/onedrive_synchronization_scope_connector.py"",""scripts/connectors/ms_graph/onenote_synchronization_scope_connector.py"",""scripts/connectors/synchronization_scope_connector.py""]",[],[],[],[],202,COMPLETE,2026-09-13 05:06:34.617284+00,null
